votes,user_id,review_id,stars,date,text,type,business_id
"{'funny': 1, 'useful': 1, 'cool': 2}",k6iS9b7wk63SYOtwX9iBDQ,wd3fut5oH_18E81iQtfuXg,2,2014-06-08,"WAS a gr8 gym when i joined 8/13.  New ownership has raped it.  Over crowded with ""trainers"", equipment in disrepair and no staff on the floor enforcing posted policies.  If $10/month is what  you can afford it's worth it otherwise pay a little more and you won't have to wait on arrogant trainers (not all but a majority) who think they own the place since there are no employees on the floor to advise them otherwise.

MOST IMPORTANTLY if you upgrade your membership READ THE CONTRACT.  They'll lie to your face and the next thing you know you're locked in for 1 year.

It's very apparent that ownership will not reinvest $$ into the gym.  Been there since AUG 2013 and there is not 1 single piece of new equipment, fixtures or stitch of an upgrade anywhere to be found.  People abuse equipment because there are no staff personnel on the floor other than cleaning.  Which I do give them credit, the place is clean...if you discount the broken and stench ridden urinal in the men's locker room that took +2 weeks to repair.  Witnessed a staff member pouring muratic acid in it on several occasions.",review,ZHvCePeFfeZ9PN41JA-ZzQ
"{'funny': 0, 'useful': 0, 'cool': 0}",tvXM9NGfiQIEAnvkOSQo1w,vSdU3CoOGNjdcY6T0ODAEw,2,2009-03-15,"I went to eat here on the opening weekend. 

The wait to eat here was about a good 20-30 minutes. It was expected on the opening weekend.

Our server was the main problem here. He constantly would forget things we requested. Also, it seemed like he forgot about our table. It took 15 minutes to get a refill. It took another 15 minutes to get a side of horseradish. It took 30 minutes to get our bill. It took another 30 minutes for him to charge our bill.

The food itself was actually pretty decent for a casino cafe. I had the chicken ciabatta with a cup of french onion soup. Presentation on the dishes was also more than you'd expect from a cafe. Typical meals range from $8-15

Overall, the whole cafe experience was 2 hours. I'd expect to be in and out in less than half the time, since we all just ordered sandwiches. We got to our table at 10pm, left it at midnight.

Decent food, atrocious service.",review,Iscx1IBY0lzksGfr-F2i_Q
"{'funny': 0, 'useful': 0, 'cool': 0}",6UDerGj4xukPy6hBrOxZVA,sGfmxp_xJp4Br5ue2EcVNg,4,2013-12-06,First time here and I really liked it. I liked the different selection of food available. I liked everything that I ordered except the last 2 which was the ultimate albacore & screaming orgasm roll...it was like eating wet rice. The salad wrap was real good and refreshing. Definitely will come back to try other food.,review,ZxmKA8b7njab1DNzCEU4Ow
"{'funny': 0, 'useful': 0, 'cool': 0}",0yP1Lx0EjqygncVUjAVsnA,DR919-Is40TbrN4dtcEk0w,2,2013-06-02,"I was here yesterday for a 90 min treatment and it was rather disappointing.. my therapist lacks the techniques that could have made me feel better and ease my neck and back pain.. my areas of concerns were even discussed before the treatment and sadly it was not addressed. I would have walked out but I couldn't think of a polite way to tell her to stop. Anyway, cymphonie, the shift manager went above and beyond to turn this experience from a nightmare to a pleasant one.. thanks to her! I am coming back today and hopefully this experience would be a relaxing and delightful one!",review,VMUjt0UBUjoaF8naHm0How
"{'funny': 0, 'useful': 0, 'cool': 0}",XgYHeOZCnR_nH7L_uEnOiQ,wY_iD97hjPWHIIOtmK9l8g,5,2013-01-14,"My first visit here and I loved it!  I got the Full Body Peel and it was wonderful. I can't wait to go back and get another one. This spa is better than the Cosmopolitan spa. This spa carries toiletries, bath soap and hair brushes. The Cosmo offered none of that, so I couldn't shower there.
After my peel I had to take a shower to rinse it off and in the room is a rain shower which feels amazing. They also have a rain shower where the jacuzzi is.
The only thing that I didn't like was the couches. When you are waiting to be called they have 2 large couches and a chair and I tried 3 different positions on the couch and none of them were comfortable. I ended up moving to the chair. Please replace your couches!",review,VECFUtkP0p7bk1Dzz0ZQgA
"{'funny': 0, 'useful': 0, 'cool': 0}",BAz6xdaqdsil9itqdznYJg,jyZGgok5ZtR6XxDRgnYXlw,4,2008-05-13,"Not what I expected. No beatles music. Place was tiny (compared to other lounges I've seen).

BUT awesome retro decor. Bartender in the outside lounge area was super hot and friendly. Music was exactly what I liked. And they let us in for free (probably because they were close to closing and there wasn't much people anyway). I think the cover charge is $10 - in which case I would pay to go again. But anything more, I'd rather sit in the outside lounge area and actually be able to hear what my friends are saying.",review,wENkQMCxWrXy26--Y8Ggpw
"{'funny': 0, 'useful': 0, 'cool': 0}",DzL2HT1Mlp6I_IT269mUPQ,8FVmuwcgrXb5e3Qcw9nGrg,5,2012-11-27,"This place is awesome. My family has had sushi from places all over the valley, and we just keep coming back here! It's such a comfortable, quiet place with excellent food at reasonable prices. Oh, and if you want something warm in addition to your Sushi, they make this unbelievable seafood bake. I can't remember exactly what it's called, but ask for ""shrimp bake"" and they'll know what you're talking about. Simply amazing.",review,LCi-jU9uH__nPxcOw9CSAw
"{'funny': 2, 'useful': 3, 'cool': 1}",DNXdO9-uDc9PKNXTICIZWw,Z348Tt2-XeIVVsqHTAt4fA,1,2009-02-16,"edited to add: CLOSED! GOOD!

my folks went to Barcelona for Valentine's Day and it was HORRIBLE.

First of all, they put the valet parking in the middle of the parking lot. WTF? I thought you paid for valet so you didn't have to walk!

The meal was terrible. Paella - shell bits in it. My mom got sick from the seafood, as soon as she got home she had terrible runs and felt horrible the next day.

My father likes pepper on his food. They asked for some pepper, a guy came by and gave a quick twist with the pepper grinder and BAM! he was gone.

Well he wanted more pepper so when they FINALLY flagged down the waitress, they asked for more pepper. She brought them a pepper shaker. :-(

The pepper shaker wasn't working right for my father, he could not get anything out of it, Danny himself came by and asked how things were. My father told him he couldn't get the pepper shaker to work. Danny said, ""Great, I'm glad to hear it!"" and left. WTF?

oh and when some apparent VIPs came in, my folks were completely ignored.

They dropped nearly $300 there! What a joke. If you want a good meal, AVOID Barcelona.",review,6YWp7frmHKuPLYSlPyUdsw
"{'funny': 1, 'useful': 0, 'cool': 1}",ZjP38OJwq604QnBzDxVlSA,gMKsF17Xq65yena_COtIxQ,3,2011-12-06,"Good place for a cheap meal and centrally located close to Mill Ave and ASU.  I'm a fan of the Chicken Katsu bowl- $5.50 and very filling.  I've also tried the Hawaiian Shrimp- breaded and fried served with a sweet and sour-ish dipping sauce.  They were decent but I was a little turned off when I noticed some of the shrimp still had the poop-vein in them...but hey, a little shrimp turd never hurt anyone, right? But seriously, I ate them regardless and feel fine.

They also sell candy and other sweets if you want some gummy burgers to go with your bento. Yum!",review,OmJ283Un9mAbr_gc7v4N4A
"{'funny': 0, 'useful': 0, 'cool': 0}",g4IuNuyARe8joQH7g5jhQg,A6NKKyOuchWHGNOQHeUcCQ,4,2014-05-20,We had brunch here a couple weeks ago and let me tell you this place was AMAZING! I had the sage chicken and waffles. The plate was huge. It also came with fried leeks which I had never tasted before but became an instant fan. The dish was a nice twist on a southern classic. My husband had the blackberry pancakes with a side of biscuits and gravy (we are serious about our biscuits and gravy). Everything was delicious. The service was quick and very friendly. I recommend this place to everyone because of their diverse menu and wonderful service.,review,xfwRO04KbAPw_zRotCfWQQ
"{'funny': 0, 'useful': 0, 'cool': 0}",uf5LWKvwqWibcLCTjum1vw,Y4iwNVe0x6eItPuGcu31Cw,1,2014-01-27,"My problem with Kendra Scott is not their jewelry, but their store policy on returns.  I purchased a Necklace for $300.00.  It turns out, my wife already had the necklace.  I promptly returned the item, only to learn that it is Kendra Scott Corporate policy to only give store credit/gift card for any returns. I, well my wife, has spent a great deal of money at Kendra Scott, and this felt like a slap in the face.  Bad policy, bad customer service.  I only wish I learned this earlier, but my wife has liked everything I have purchased in the past.  The only reason I needed to return this was because she already owned it.

If you purchase something from any location, or online, make sure you will not need to return it for any reason.  Definitely not a good idea to buy a gift from Kendra Scott.  I will not shop there again, nor will anyone else in my family.  This will probably save me a lot of money over the years!  (that is the only positive)",review,Ng_1XoD6_8FNPTIroY3ioQ
"{'funny': 2, 'useful': 5, 'cool': 2}",WMC1x4StNHtmHBbpg0_81w,camH-wG0XoBU7iGuPs8AFA,4,2011-10-26,"I loved my stay here.  We were booked a room through the time share my work provided and ended up in an efficiancy studio.  These rooms are VERY small and the murphy bed is not very comfortable.  Other than that, the room was clean, the shower was large (bom chicka bow wow) and everything was up to date.  Even the tv and radio's came in clear and had a variety of channels to choose from.

The hotel is situated behind a strip mall where we were approached to buy some drugs.  We said no.  The 7-11 is also right in front which is helpful for those trips back to the room when you just want water or a snack.

All in all I would reccommend this hotel, just make sure you get a real room.  


 Oh, ps...they did try their timeshare speil on me, but I just told them there was no point in having it when my work provides it for free!",review,M85zYyPcMXuGIuMyz7YmfQ
"{'funny': 1, 'useful': 0, 'cool': 1}",QMTQNQmp4hQ2o6hkRX_Uxg,SK1iL3G7MylrIJNnDSVWFQ,4,2014-03-28,This is good gas. The lines are always long. I've never come here and been able to just pay & go. However the line moves pretty quick if u have say 15 to 20 minutes to wait. I give it four stars and yes I will return many times to fill up.,review,Kl3w7BVvI0i1SdpuVc5gSw
"{'funny': 0, 'useful': 0, 'cool': 0}",pw-k3TMjt1ZNB2-iRVTDlQ,kieumL3ENBGR_ajndWJR9A,4,2013-10-07,"fast, friendly and had what I needed at a good price!!",review,CnqSZ7HmH7723bDfxtVeTg
"{'funny': 0, 'useful': 1, 'cool': 1}",kpFx1hEnRUg4fk6D1APRjQ,gRSaAUvqSBaiS59hdry6yA,5,2008-01-13,"This restaurant is by the far the most unique restaurant I have ever eaten at.  I love the concept...taking the vernacular of southwest, native american flavors and incorporating it into fine cuisine.  The heart of this restuarant is the fact that they use local seeds, local flowers, local everything to make the food so extraordinary.  I always request the corner table at teh junction of the 2 windows at aorund 5:30 pm to get the best sunset views possible.  Then the experience begins...every waiter knows your name, everything is not overlooked, food is beyond exceptional, and the location is classic AZ.  If I could, I would add another diamond on top of the 5 it's already received.  Thank you Kai and Sheraton WHP for putting together an unforgettable restaurant.",review,T9iBSa4pxYXP129pHlt5Sg
"{'funny': 0, 'useful': 2, 'cool': 0}",UWtegwOMCf-yfcWFouuPDw,hkFtq5TY4AVUoP6L-4CEjA,4,2010-01-01,"When my husband and I were deciding on where to go for cocktails before our New Year's Eve party I remembered I had received a text from my girlfriend telling me about the Living Room opening in downtown Octoillo. We arrived at 7pm and luckily since this was the second opening night it was not ""packed""! We were greeted with a warm welcome and given a choice of seating. The atmosphere inside appeared very comfortable with tall tables to stand around, two long bars, some small round tables and a few living room areas with leather seating. They had three different patio areas one with a fireplace which was already taken. We chose to sit on the patio which was very comfortable with plenty of heat (outside temp about 53). They also had a GREAT sound system playing light jazz! Our server immediately brought water and menus to the table. He also had a penlight so that we could read the menu..nice touch! The menu was simple and offered a variety of lite fare items: salads, soup, sandwiches, bruschetta and cheese platter. 

We started with wine, bruschetta and pannini. We thought our waiter forgot about us on the patio as our food came before the wine! But he assured us he didn't. For $7.95 you can select four different types of bruschetta which is fun to have a sample of each! I selected the tomato basil, hummus, peppered steak and chicken salad. Enjoyed all but the steak which was too chewy and heavily seasoned. Our waiter asked how everything was and I commented on the steak. He was so eager to please and suggested I try the goat cheese and yellow/red peppers. Much better! The ham pannini sandwich had plenty of thin sliced ham and was very tasty. I would forgo the chips next time and try a salad or soup instead. 

It was a great experience, loved the atmosphere and felt very welcomed. In fact when we left the owner came out to wave goodnight. If you want a place to relax, fine wine and flavorful nibbles, I highly recommend the Living Room. Thanks Living Room investors for bringing such a fine place close to home in Chandler...we will be back!",review,q9WaFYhlOZCrfXJQTG5t_Q
"{'funny': 0, 'useful': 0, 'cool': 0}",FRJNdEwCuy7QFlOkveTtCw,DqbJy7aZ3W1UNrO4kz8qiw,5,2014-01-07,"""Where's the restroom?"" 
""You see the dick that says restroom? Follow where it's pointing.""

OMG!!!!  They were showing porno vids from the 1920's (silent era!!! Think 3 stooges fucking) and 1930's and so on and so forth ...you could see the progression of boldness and styles. How natural they were back then, incredible. Footages of Larry Flynt, his actual wheelchair. Tons of art from all over the world, a massive display of horniness. 

I absolutely dig this museum.",review,eR5_1M5Xs71K0WEfRtbbRQ
"{'funny': 0, 'useful': 4, 'cool': 4}",QZnig4mWN1PzQgEW4ayABw,aP8rmYilRwPYGRwXLqh7Ig,5,2011-12-31,"We went to Wynn Buffet for Christmas because we knew that, as vegetarians, we'd have way more options here than anywhere else.
The wait was LONG, clocking in at about 3 hours.  It went by fairly fast, and waitresses brought water bottles around for everyone.  One thing I wish someone would have remedied was the screaming kid who wouldn't stop crying for the ENTIRE hour wait in the inside line.  Cramped quarters, low ceiling, shrieking child.  Not necessary, one of the parents should have taken him out of there (and one of Wynn's staff should have told them so).  
Once we were seated, we asked our waitress if she could point out for us which dishes were vegan.  To our surprise and delight, she went and got a chef to personally take us to every single station and show us which options were vegan.  He was so friendly and went into detail about several dishes.  My favorite part was how the crowds parted ways for us.  It was definitely star treatment.  :-)
The food was absolutely incredible.  The highlight for me was the pasta bar, where you can pick your ingredients and sauce.  The alfredo (vegan!!) was ridiculously rich and perfect.  I'd live on that stuff. 
There were so many veggie dishes that I filled up way before getting to try them all.
DEFINITELY worth the price.
My only complaint is that they could always use more vegan desserts!  I think there were only 2 options when we went.",review,YNQgak-ZLtYJQxlDwN-qIg
"{'funny': 0, 'useful': 1, 'cool': 0}",8z2mKSqTW-4pLobAUNvrsQ,7B18DW2JKNswlyxggxzIqA,3,2011-03-03,"Selection isn't as nice as other locations. 
Parking sucks because its shared with Smart & Final.
Tons of vegan and vegetarian friendly  foods. 
Love their wines!",review,0mipXeIcQaqhkpseD8-0vQ
"{'funny': 0, 'useful': 0, 'cool': 0}",qwc6-xIIVpLGp8WPpIZ5sw,g9Egq0lBV70ruonT0suOTA,3,2013-03-22,"This place needs to bring back the country fried steak, it was the best in town and it's a tragedy (yup tragedy) that I can't eat it anymore. You'll notice I gave this place a 3 star rating, based on the fact that everything else is just alright. Maybe it's excellent and the country fried steak is next level (what they're eating in heaven) awesome but I'll never know; because after they took the CFS off the menu I had one mediocre meal here, went home to cry, (periodically checked the online menu for months in hopes they would add it again) but never returned.
 Get it together Triple George. Listen to reason. Bring back that Country Fried Steak.",review,OeinO4b26UcICbrLxoj3DQ
"{'funny': 0, 'useful': 0, 'cool': 0}",8-t72RFMTftZz9ZM6w3qnQ,8ArhL7d5apaDOl8pIGlp0A,3,2011-12-18,"Great food..deserts were exceptional, BUT they can't seem to get reservation right.  I decided to make a reservation for our company Christmas party on 12/3 and when I decided to confirm the time a week in advance  they had no record of the reservation.  I was however able to get a reservation for the 17th.  No problem, or so I thought.  Because of the last slipup I decided to call a week before to confirm.  No problem they said we have you down.  When our party of 7 showed up for our 5:45 reservation they said they didn't have us down!!!  How could this be when I even confirmed a week before!!?? Does this place bump reservations when it fits their schedule?  They did arrange to have a table, but if that didn't happen our Christmas dinner wouldn't have happened.  I give them credit for accomodating us, but come on ,you need to do a better job of tracking reservations.  And when you screw up a reservation (2X) don't say sorry for the misunderstanding say ""sorry we messed up on your reservation""  That would go over way better.  Normally i'd give 4 stars, but you only get 3 due to messing up the reservation twice!",review,IuAPYzf3NSyfyXYgT46YVA
"{'funny': 0, 'useful': 2, 'cool': 2}",Jc1DMCgOyU38urx3XEOfDA,EzsnsHyVNGE6Vr3XU_yQ8A,4,2008-09-22,"I have several reasons to love this place.

The MOST important is NOT, however, the cigars.  Yes, the cigars were great -- and they have something for everyone . . . as long as it's made by Fuente.  (Fortunately, however, I like their cigars so this wasn't a problem.)  No, the best thing about this place is that it's the ONLY place in Las Vegas I've found that has (not ""good"" but) truly GREAT ESPRESSO!

OK, yeah, it's the cigars that draw people to this place.  And, as I say, they have a good selection, all the accessories, AND it's the only place in the Forum Shops one can light up.  They have  ""outdoor"" seating (I mean, come on, it's Vegas -- who wants to be outside in 101-degree heat???  You're ""outside"" in the Forum Shops!  They also have a dark wood bar and a couple of tables ""inside"", with a flat panel TV tuned to whatever game is on at the time.  

They offer a full bar, but surprisingly limited in what rums they offer.  Well, I was surprised, based on the fact they're going for the look and atmosphere of ""old"" Cuba.  A lot more whisky than rum, though the 12-year old Montecristo does provide a nice rum to sip while enjoying a cigar.  They also make the best Mojito I had while in Vegas, too . . . .

What's not to love?

AND . . . let me add that, while it IS true the crowd is mostly men, there were a number of women here -- some enjoying a cigar, some now -- AND not every table here was smoking, either.  One couple showed up and ordered tea.  Apparently they were regulars, too, as the waitress knew them be name.  One cup of green tea and an Earl Grey later, and they were off . . . 

Casa Fuente:  it's not just for cigars anymore!  ;*)",review,vEEjLaibx9ej2DqL1HpU0A
"{'funny': 0, 'useful': 0, 'cool': 0}",R6y02_ynzdrr3uf-FM2FBQ,GkSHU-lmc8XXfwEF8EwAyA,3,2012-08-22,"This place was an ok place.  I was not amuzed with the slow service.  There were 6 people working the front desk.... (you dont need that many people) We gave our names atleast 3 times to 3 different people who skipped over us and sat other parties that came in after us.  Ended up waiting for about 45 mins with a 10 min quoted time.  Our server was very good, but I noticed the people around us who had different servers ordered before us and got our food after us.

Their mai tai's sucked.  Drinks were not strong, or atleast descent for restaurant quality.  Food was ok.  Portions are a lot smaller then the other PF Changs.  One thing I did like about this restaurant is that they are not over priced for being on the strip, its the same pricing as other PF Changs.",review,GmAGA39Wjv3MLT2ju5ALQQ
"{'funny': 1, 'useful': 1, 'cool': 1}",FQBsSK8bOMfcu1pnwDKFtg,U3wgrnpO_gYpQJf3AxAjAw,3,2014-05-20,This place is cute and has an excellent view. I got the feta and olive salad which was delicious. My dad loved his big breakfast too.,review,igTW_7E-5WJViF72dEVf_w
"{'funny': 0, 'useful': 0, 'cool': 0}",TXOzbPaH4KUSUrOxxdE0Zg,qvWI10q9dCCl0aW8Scm1Qg,1,2012-10-24,"These guys are crooks. They could not have been less organized when bringing our goods into the convention hall. It was as if they let 50 guys out of prison and give them forklifts. No joke. The guys who were supposed to unload our truck got into a violent argument over their favorite classic rock bands, so we ended up unloading the truck. 

Weeks later I find out that it cost me $1.00 per pound to move my exhibit the 200 ft from the loading dock to my space. I can ship goods from Boston to California for $0.30 per pound. 

This rate is a total joke. The terrible service is just insult to injury. Companies like this just can't last. I won't be going back to Expo East and that's about $25k in lost revenue. That's someones job. There is recourse for being a crook and treating people like garbage.",review,7DYg9G8cLyBRJl1dvngvow
"{'funny': 0, 'useful': 1, 'cool': 0}",azWYti6iuJ2XQFedxKcLRQ,NBhcFvLKdcElHdeWfUmE9w,3,2013-09-15,"My boyfriend and I came here yesterday, him for a mani pedi (his first!) and me for a shellac manicure (my first!). We walked in and were told to come back in 30 min, but it was about 45 - 50 til we got seated, though it was a Saturday so that's to be expected. 

First, I'll say my boyfriend was happy with his experience. He had a crack in one of his toenails (soccer player problems) and they glued it for him. However, I was disappointed they charged him $45 for the mani pedi when they didn't even polish his nails! That's half of the cost/time of a manicure. 

Now for my gels...Blegh. The technician was very nice and efficient, but I was not happy with my nails once I saw them in daylight. He didn't wrap the tips, which is my biggest manicure pet peeve, and some of my nails were filed unevenly and the polish was uneven at my cuticles and sides of my nails. I'm frustrated because since they are shellac I can't really fix them myself. 

I will probably be back because the reviews here are good and the location is convenient, but I will ask for a different nail tech.",review,Hx49HNQ--njuK71y2JnUIg
"{'funny': 0, 'useful': 0, 'cool': 0}",ekStje37hOcLkccMMwJWbQ,_Uvw3-6megV2WYRhP5G3tw,1,2013-06-02,Food is alright .... Service sucks the big one...waited 30 min 4 take out.. Would not go back ..there are other places w/better service & food...,review,AFDFOs2GaIyUArGyEUDQzQ
"{'funny': 0, 'useful': 0, 'cool': 0}",O3F9oWq1WAVdw7v6RMTBAA,FnDxsZXgMnnbhBa1mD7QLg,4,2013-06-26,People really surprise me.... What exactly do you expect from a strip mall restaurant? It's manufactured fresh looking food designed to fool the public into thinking that its a healthy and gourmet alternative to fast food. It's not!  Get a clue and stop expecting high school students to provide high dining experiences. The food is exactly the same as every other paradise bakery and it delivers exactly what it is required.,review,nInabwjYRoTe8nc6X_dYkg
"{'funny': 0, 'useful': 0, 'cool': 0}",x3mea2PRW4Q5F40CZRO8EQ,rbf7JWbFPxGJDjv0RgFgNQ,5,2011-08-30,"The 5 star review is strictly for the ladies. If you're a girl, there is no reason not to go here. You can get in free, listen to awesome music, kick your shoes off and dance in the shallow end of the pool. Beautiful girls in beautiful clothes abound and it is fun to be one of them for the night. 

Still, despite all the lovely ladies, guys may think twice before spending their night here. A ridiculous cover, interminable lines, and expensive drinks (you're the ones buying!). Plus, pretty much every girl I went with, myself included, and every girl I talked to was in a long term relationship and not looking to hook up or even really talk to guys.",review,Es300Ys1XXPYg8aI7BKVYQ
"{'funny': 6, 'useful': 4, 'cool': 4}",I3QDSkHyHUd3wlmRUb0eyg,7dCCKyCptCOk-ouy9V2qQQ,1,2009-01-05,"Palace Station can Fuck off !!  And because you guys suck so bad, i'm thinking i might just avoid the rest of the station casinos and the bummer is i like the oyster bar. i'll survive without it !",review,TKE1cyjs9q2PoqMXqEV9Eg
"{'funny': 0, 'useful': 0, 'cool': 0}",VgdDYz0-i1kDszfEu5nFdg,Gh7peKARhS7JGcIeEEy88g,4,2012-04-07,"I only popped in to have a quick drink with a friend.  Unfortunately, we didn't have time to order any of the fabulous food but, i have to say that i love the atmosphere of the Uptown Vig even better than the 40th St Vig.  The patio out back is fabulous.  Will be back when I have more time to enjoy.",review,WS1z1OAR0tRl4FsjdTGUFQ
"{'funny': 0, 'useful': 0, 'cool': 0}",UbtnkhteIkiwpm2dohJcdg,jskNqz3bfyY22ua5AoUetw,5,2013-10-20,Great food and big portions!!!  Definitely one place everyone needs to visit when in Vegas.,review,xfwRO04KbAPw_zRotCfWQQ
"{'funny': 0, 'useful': 0, 'cool': 0}",E5BvqKvqsgSiXj9JOvgJyg,bJ6P2WQFy7PcxdfmR9D1_g,5,2011-08-17,"Wow!  We had lunch here and came back for dinner, it was so good.  The House Burger must be seen to be believed.  Ask for more napkins if you order it; you'll need them.  Great onion strings, too.  We did think the cheese curds at the Capital Tap Haus were better than the Old Fashioned's, but B+ isn't bad, right?",review,FHqwLwpLjUjeLP-IdG_o_w
"{'funny': 1, 'useful': 5, 'cool': 0}",liiYhDAP64C8uLyixBDWdg,wGuHQcjVBsPQxn5jtwAfQg,5,2011-05-24,"So I haven't gone back, but I must give an update.  I have written reviews for places I did not have a good experience at and the owners and managers have contacted me trying to justify my bad experience.  I should come back because ""they were having a bad day,"" ""their location is similar to the other options nearby,"" or ""maybe I don't know what good taste is,"" etc.  
After writing my non-glowing review, I was contacted by the owner of this salon, Kristen.  I expected to get the same kind of response as we all have before, but I didn't.  
Before I could get the chance to email her back, she found my phone number in her database and called me asking me to let me know the specifics so that she could be aware of any way she can improve her business.  It's refreshing to know this website is used by business owners in a constructive way.
After explaining the specifics, she apologized, promised to work with her employees on improving their customer service skills and invited me back to try a massage with another therapist and try a facial as well.  
I applaud Kristen for emabracing growth, feedback, and education about her business.  I work with small businesses everyday and know that many are opposed to change and will shut their ears to any type of negative feedback.  Based on the interactions I've had with Kristen, I'm certain that this spa will be constantly improving and will be a location worth visiting long into the future.  I recommend everyone try this day spa solely on the fact that it is being run by a very exceptional individual.",review,RalonfLv1B24rKlxu2QbdQ
"{'funny': 0, 'useful': 0, 'cool': 0}",y0O5DeIQz0jxcY8IR5q1fA,k2X800lwQbdqnhyuy2e9uw,3,2011-04-11,"This place is really popular in San Diego. My husband and I have been trying to eat at the one in San Diego for a really long time but the wait is always so long. 

We were in Vegas this weekend with Family and wanted to finally try it.  It was located inside Imperial Palace on a 2nd floor of the hotel. Imperial Palace is not the nicest hotel but when you finally make it to the restaurant the decor is nice and the restaurant is pretty big. 

My husband ordered the Sage Fried Chicken and Waffles and we both shared it. We specifically wanted to try it because we saw it on Man vs. Food and saw Adam try the dish. The dish is definitely way too big for one person so sharing is a MUST when you go to Hash house.  It was very tasty and the chicken is not oily so it was a plus for me!  The presentation of the dish was definitely cool:).  The waiter said the wait for the food after we ordered was 45 minutes since it was made from scratch but  it came out after only waiting for 10 minutes. 

3- stars for the service for me. My husband ordered a bloody mary and they completely forgot about it and we ended up cancelling it all together. 

I really liked the food so I think I will try it again in San Diego.",review,QbmcCE_cLq4WO8ZMKImaLw
"{'funny': 0, 'useful': 0, 'cool': 0}",SOPEWvkOAFpTfPnvnGt2zw,wQD2XiUkvYdiGPvndx5sPg,5,2012-04-03,"Had my first yard and I thought "" why not do it big since Im in Vegas and go for the strongest one"" So I got the 44magnum and OMG it was amazing! I downed it in under 25 mins and I was set to go run a muck!!!! I didn't do anything horrible... at least from what I remember.. Oh well thats Vegas for you baby!",review,W0TK5K3VLbnNrrzLTaaykw
"{'funny': 0, 'useful': 3, 'cool': 0}",6e7pZofhDuIlD_rX2oYirQ,ilxkf3l9TrSrMXsdrHelcw,5,2010-10-19,Great vegan and vegetarian food!!!  The tea selection is also of course awesome.  The black bean hummus wrap was excellent and the salads are very tasty. Everything is organic and fresh. After the meal I had a very satisfying feeling knowing I ate healthy and it tasted great! We will definitely come back for more.,review,xIdyiVoX5woL8iKHYKoiWw
"{'funny': 2, 'useful': 4, 'cool': 3}",A_O8wZOsMTPwyeYA4-Rsow,mgcwMQOxucH-HaI61O1M3w,4,2009-03-03,"Full menu with standard bar fare, kitchen open late and Downtown. 'Nuff said! Everything I've wanted is now complete. CenPho is complete IMHO. They even have breakfast on the weekends!

The fish and chips is straight outta Seamus' kitchen (i.e. it's Fucking fantastic).",review,FeI75xIG8PF_XZ6P80gLBQ
"{'funny': 0, 'useful': 0, 'cool': 1}",EMbafN4a2v9Nvx9M_xlYXw,Z_eNBRXZ1srgltEpcxJW5Q,5,2014-04-06,I just ordered from this place. I love egg drop soup and have ordered it from many places before. His by far is the best!  Just found my new fav chinese place !!,review,ImghNwml8N-ncAqhXe00hg
"{'funny': 0, 'useful': 0, 'cool': 0}",ZsrvpUS8bRzL3rnY5GcMYA,rdwRw61__MFFzqvC8ljPQQ,1,2014-05-10,"Not impressed.  For a restaurant that claims to offer ""Gourmet Sandwiches"", the menu is very limited. The sandwiches are nothing special and skimpy...maybe two ounces of meat and cheese combined. For a dollar more, you can get shredded lettuce and tasteless tomato. Or at least I think so, as I wasn't asked what I wanted on my sandwich. Service was delivered with an ""I'd really rather be anywhere else"" demeanor, and when I asked for salt I was told it wasn't available. Really? Next time, Subway or Quiznos.",review,VzQpPsEjPdehuWoDeqi75g
"{'funny': 6, 'useful': 1, 'cool': 1}",QKD1cF1CFRQG2LGc_3e7OQ,Ym1TQ-AafHc7oEgMt6j3Fw,5,2009-04-30,"oh, god, oh god, OH GOD GOD, YES! YES!!!! YESSSSSSSSSSSSSSSSSSSSS!",review,Snvt71a7KDWYxeltag2zLA
"{'funny': 0, 'useful': 0, 'cool': 0}",2BzcoI6Kiq-2RQ9EUFR5Tw,c6ytfqFJmvVutAFixmXAmw,5,2010-01-09,"Sushi Ken is not fancy but it takes you to any-town Japan with good food that is very affordable. The menu is highly diverse with tasty items like shumai, ramen and squid snacks that you don't normally find in US-based Japanese places. The dishes are high quality and the cost performance is excellent. Oishii! Highly recommended.",review,T4ox3wUzFjWvyrjaTRoBbA
"{'funny': 0, 'useful': 0, 'cool': 0}",An3Ywo5yuZblumrwOx3L3g,Lj9XFpRaVbjBOUt3xoBwSw,3,2010-02-23,"excellent chips and salsa - they were free. 
good margaritas - my fave was the pineapple one. 
tacos - meh. i live in santa ana and of course the tacos here are outrageously delicious and its hard to compare. 
ambience - super fun and laid back.",review,kKcniirsMqUd_x0pZEGcWA
"{'funny': 0, 'useful': 1, 'cool': 0}",tiyg_cQaPdUuSG95Xpi_sA,REoRa62y51BPWtgjdligaA,4,2012-05-24,"Was here for a work meeting and would like to go back. reBAR atmosphere was very cool, rebar twisted decor and brickk wall made for neato vibe.",review,PwxvN0SnAGPdqXdNEYVT3g
